2026-04-03 10:33:26 | Training started | num_expert_samples=5000
2026-04-03 10:33:26 | iter | train_reward | test_imitation_loss | test_disc_loss | test_disc_loss_expert | test_disc_loss_generated | test_gen_reward
2026-04-03 10:50:00 | 89 | -77.4029 | 4.0714 | 0.9306 | 0.4018 | 0.5288 | -67.5556
2026-04-03 10:50:11 | 90 | -68.5207 | 4.1742 | 0.9735 | 0.3855 | 0.5880 | -65.2101
2026-04-03 10:50:22 | 91 | -73.1043 | 4.6791 | 1.0183 | 0.3778 | 0.6405 | -61.7677
2026-04-03 10:50:33 | 92 | -72.2062 | 5.2226 | 0.9135 | 0.3697 | 0.5438 | -68.2056
2026-04-03 10:50:44 | 93 | -75.8617 | 5.7864 | 0.8327 | 0.3536 | 0.4790 | -76.2894
2026-04-03 10:50:55 | 94 | -79.3224 | 7.4038 | 0.8248 | 0.3573 | 0.4675 | -86.5313
2026-04-03 10:51:06 | 95 | -70.7405 | 9.4847 | 0.9263 | 0.3539 | 0.5724 | -79.1519
2026-04-03 10:51:17 | 96 | -64.4897 | 12.8795 | 0.8002 | 0.3646 | 0.4357 | -78.2635
2026-04-03 10:51:28 | 97 | -73.6399 | 17.9223 | 0.8007 | 0.3734 | 0.4273 | -82.7765
2026-04-03 10:51:39 | 98 | -87.5543 | 29.5491 | 0.7113 | 0.3758 | 0.3355 | -90.5439
2026-04-03 10:51:50 | 99 | -83.8995 | 50.0910 | 0.6859 | 0.3674 | 0.3186 | -94.8241
2026-04-03 10:52:01 | 100 | -96.6768 | 96.2667 | 0.5498 | 0.3258 | 0.2240 | -98.9693
2026-04-03 10:52:12 | 101 | -97.4133 | 224.1979 | 0.5471 | 0.2932 | 0.2539 | -101.6047
2026-04-03 10:52:23 | 102 | -101.2880 | 725.5506 | 0.4567 | 0.2470 | 0.2097 | -106.1606
2026-04-03 10:52:34 | 103 | -103.3486 | 8234.0889 | 0.4120 | 0.2091 | 0.2029 | -110.1921
2026-04-03 10:52:45 | 104 | -108.9938 | 10244495360.0000 | 0.3320 | 0.1733 | 0.1587 | -113.3684
2026-04-03 10:59:56 | Training started | num_expert_samples=5000
2026-04-03 10:59:56 | iter | train_reward | test_imitation_loss | test_disc_loss | test_disc_loss_expert | test_disc_loss_generated | test_gen_reward
2026-04-03 11:00:08 | 1 | -119.9566 | 4.3133 | 1.3774 | 0.6894 | 0.6879 | -120.5344
2026-04-03 11:00:19 | 2 | -116.9357 | 4.3129 | 1.3657 | 0.6804 | 0.6853 | -125.5305
2026-04-03 11:00:31 | 3 | -123.2671 | 4.3262 | 1.3535 | 0.6719 | 0.6816 | -124.8658
2026-04-03 11:00:42 | 4 | -122.4852 | 4.3215 | 1.3425 | 0.6644 | 0.6782 | -121.0731
2026-04-03 11:00:54 | 5 | -122.6695 | 4.2992 | 1.3291 | 0.6567 | 0.6724 | -120.0950
2026-04-03 11:01:05 | 6 | -120.4908 | 4.2687 | 1.3172 | 0.6495 | 0.6677 | -116.5592
2026-04-03 11:01:17 | 7 | -114.7662 | 4.2325 | 1.3063 | 0.6423 | 0.6640 | -114.2044
2026-04-03 11:01:28 | 8 | -116.0461 | 4.2191 | 1.2953 | 0.6346 | 0.6606 | -112.5809
2026-04-03 11:01:40 | 9 | -111.0607 | 4.1996 | 1.2828 | 0.6270 | 0.6558 | -107.8047
2026-04-03 11:01:51 | 10 | -107.8015 | 4.1838 | 1.2642 | 0.6189 | 0.6453 | -113.0302
2026-04-03 11:02:03 | 11 | -105.0278 | 4.1616 | 1.2571 | 0.6106 | 0.6465 | -103.9426
2026-04-03 11:02:14 | 12 | -101.9303 | 4.1405 | 1.2389 | 0.6023 | 0.6366 | -100.0149
2026-04-03 11:02:27 | Training started | num_expert_samples=5000
2026-04-03 11:02:27 | iter | train_reward | test_imitation_loss | test_disc_loss | test_disc_loss_expert | test_disc_loss_generated | test_gen_reward
2026-04-03 11:02:38 | 1 | -104.3117 | 4.1555 | 1.3813 | 0.6623 | 0.7189 | -99.0871
