raw/gen/rollout/ep_rew_mean,raw/gen/rollout/ep_len_mean,raw/gen/time/total_timesteps,raw/gen/time/iterations,raw/gen/time/time_elapsed,raw/gen/time/fps,raw/gen/train/value_loss,raw/gen/rollout/ep_rew_wrapped_mean,raw/gen/train/entropy_loss,raw/gen/train/clip_range,raw/gen/train/explained_variance,raw/gen/train/learning_rate,raw/gen/train/n_updates,raw/gen/train/approx_kl,raw/gen/train/clip_fraction,raw/gen/train/policy_gradient_loss,raw/gen/train/std,raw/gen/train/loss
-41.71169844,288.91,180224,1,6,2466,6.574797654245049,275.9466524752189,-5.486586691811681,0.2,0.9160058,0.0004,50,0.010075448,0.12906494140625,-0.007932259250083007,0.9550110101699829,3.758368492126465
-41.98611042,296.61,196608,1,6,2432,14.472603360936045,294.439297478089,-5.4611093763262035,0.2,0.85448974,0.0004,55,0.008080084,0.081640625,-0.004372581246570917,0.9472367763519287,3.0489649772644043
-39.05240152,295.27,212992,1,6,2439,1217.4645662644878,378.0696679226049,-5.42730446010828,0.2,0.12947905,0.0004,60,0.008382534,0.11494140625,-0.0035059993744653182,0.9380680322647095,1107.7659912109375
-43.13602231000001,292.89,229376,1,6,2453,52.48424416594207,357.3326174259973,-5.3896587185561655,0.2,0.36192477,0.0004,65,0.008025952,0.07406005859375,-0.0018108824322553118,0.9276282787322998,6.308687210083008
-45.49146819,294.63,245760,1,6,2431,11.125308250356465,207.03832460313114,-5.333090421929955,0.2,0.6078372,0.0004,70,0.008057592,0.08953857421875,-0.0012930161925396532,0.9201822280883789,1.6378976106643677
-42.40640811,297.01,262144,1,6,2401,3.0608223037794233,138.5539397435424,-5.319866621121764,0.2,0.57904816,0.0004,75,0.0058272444,0.06939697265625,0.0003982814108894672,0.9153501987457275,0.9472427368164062
-44.801911600000004,300.0,278528,1,6,2487,1.8343042959226294,103.76025600156292,-5.2923158336430784,0.2,0.81384546,0.0004,80,0.0061685354,0.068994140625,-0.0002599589559395099,0.9061530232429504,0.4263508915901184
-48.12266932000001,298.06,294912,1,6,2507,30.501666026120073,124.72826630124591,-5.2624525934457775,0.2,0.81111586,0.0004,85,0.007701086,0.07310791015625,-0.0011876323784235864,0.9036969542503357,54.87343215942383
-50.65956268,292.85,311296,1,6,2501,1.6245573303895071,149.73783126090066,-5.23632375150919,0.2,0.8888864,0.0004,90,0.0074761035,0.0900146484375,-0.004130211462688748,0.8952924013137817,0.36251986026763916
-52.635818959999995,297.78,327680,1,6,2516,1.5010944972746074,134.63476075947386,-5.235245792195201,0.2,0.8968137,0.0004,95,0.009628586,0.126806640625,-0.007476143151507131,0.8971512913703918,0.4910666048526764
-53.15938117999999,297.57,344064,1,6,2526,1.5961393838049844,126.99799185575874,-5.2523148618638515,0.2,0.9457182,0.0004,100,0.008864358,0.1078369140625,-0.005079622428456787,0.9012719392776489,0.7809706926345825
-53.230346589999996,294.02,360448,1,6,2534,1.0738309295265935,88.89123470981936,-5.2391561951488255,0.2,0.79958975,0.0004,105,0.008215316,0.09873046875,-0.0034366735049843554,0.9009648561477661,0.5639901757240295
-51.42525504,294.02,376832,1,6,2531,2.284569976106286,59.871842901750554,-5.247738171368837,0.2,0.65570736,0.0004,110,0.0067278985,0.072705078125,-0.0010293295432347803,0.9022499322891235,0.3157062530517578
-49.95353674999999,298.72,393216,1,6,2528,1.3570324665633962,68.30055077642035,-5.238191006705165,0.2,0.93145037,0.0004,115,0.009000476,0.114111328125,-0.006617830562754534,0.9012020826339722,0.6519936323165894
-39.62915347,297.87,409600,1,6,2501,3.376502298284322,92.83183499589937,-5.230147133767605,0.2,0.9204252,0.0004,120,0.011625031,0.13636474609375,-0.007646919068065472,0.892475426197052,1.5028011798858643
-33.91956233,297.87,425984,1,6,2473,5.365622067265212,115.2138775441572,-5.167833233252168,0.2,0.8539381,0.0004,125,0.010991944,0.13555908203125,-0.007670158894688939,0.8781542181968689,3.8928351402282715
-35.1210661,300.0,442368,1,6,2465,6.268124991469085,146.66777091212128,-5.103472134098411,0.2,0.93332404,0.0004,130,0.011255179,0.154296875,-0.009279339036220335,0.8667840361595154,2.534106731414795
-34.15210169,297.98,458752,1,6,2457,4.617673099506646,156.23754616495205,-5.064593220129609,0.2,0.9537269,0.0004,135,0.012994992,0.177587890625,-0.009260971334515488,0.8586587905883789,2.1533617973327637
